epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8961.68,1.16966,1.08508,1.24444,0.88284,0.90122,0.93566,0.65191,1.10702,0.82522,1.15042,0.000367347,0.000367347,0.000367347
2,17272.3,1.17794,1.09957,1.25315,0.86741,0.83008,0.89523,0.59833,1.23948,0.98149,1.25568,0.000717942,0.000717942,0.000717942
3,23182.1,1.21117,1.14639,1.27683,0.84619,0.84338,0.88187,0.58311,1.27896,1.00721,1.27954,0.00104872,0.00104872,0.00104872
4,25276.6,1.23075,1.17785,1.2885,0.82593,0.82036,0.87995,0.57113,1.28983,1.02365,1.27926,0.00102182,0.00102182,0.00102182
5,26813.5,1.21707,1.17302,1.27259,0.81256,0.8342,0.88514,0.58021,1.24564,0.98873,1.25474,0.000992093,0.000992093,0.000992093
6,28354,1.22554,1.15119,1.28169,0.84972,0.82163,0.87589,0.56367,1.30278,1.02551,1.30113,0.000962366,0.000962366,0.000962366
7,29889.9,1.20519,1.10429,1.25542,0.86455,0.85283,0.89832,0.58737,1.21816,0.94807,1.22927,0.000932639,0.000932639,0.000932639
8,31429.6,1.19581,1.10986,1.2618,0.87695,0.85333,0.91412,0.6155,1.19962,0.9102,1.22691,0.000902913,0.000902913,0.000902913
9,32970.1,1.17024,1.07778,1.25129,0.88458,0.87775,0.92693,0.62618,1.16888,0.89867,1.19427,0.000873186,0.000873186,0.000873186
10,34509.9,1.17256,1.08781,1.24794,0.88776,0.88823,0.93153,0.6417,1.12967,0.82604,1.1775,0.000843459,0.000843459,0.000843459
11,36052.8,1.16835,1.06642,1.24336,0.89151,0.87834,0.92595,0.6442,1.1445,0.84009,1.18314,0.000813732,0.000813732,0.000813732
12,37593.1,1.14805,1.03458,1.23262,0.83461,0.82181,0.87633,0.57207,1.2787,1.02119,1.26429,0.000784006,0.000784006,0.000784006
13,39136.3,1.13137,1.01993,1.21815,0.89337,0.8827,0.92964,0.65315,1.10663,0.79799,1.15103,0.000754279,0.000754279,0.000754279
14,40679.5,1.14714,1.02492,1.23126,0.87618,0.89977,0.93198,0.6478,1.13621,0.82452,1.17056,0.000724552,0.000724552,0.000724552
15,42220.4,1.16284,1.03302,1.23868,0.9025,0.89625,0.94582,0.66891,1.08449,0.76419,1.14134,0.000694825,0.000694825,0.000694825
16,43765.2,1.1692,1.03971,1.24875,0.89067,0.918,0.94697,0.67024,1.08176,0.76527,1.1289,0.000665099,0.000665099,0.000665099
17,45310.5,1.14758,1.02553,1.23484,0.90044,0.91499,0.94678,0.66364,1.0863,0.78391,1.1338,0.000635372,0.000635372,0.000635372
18,46856.7,1.13086,0.98273,1.21819,0.9135,0.92335,0.95378,0.68344,1.05501,0.75393,1.11863,0.000605645,0.000605645,0.000605645
19,48400.6,1.11927,0.97222,1.21307,0.92301,0.92613,0.95777,0.69259,1.02558,0.70933,1.09199,0.000575918,0.000575918,0.000575918
20,49949.5,1.12387,0.97916,1.21158,0.90966,0.91965,0.95194,0.68927,1.04764,0.74484,1.1158,0.000546192,0.000546192,0.000546192
21,51495.3,1.10472,0.94822,1.19889,0.90437,0.93831,0.95798,0.7039,1.00551,0.68147,1.08268,0.000516465,0.000516465,0.000516465
22,53042.2,1.10377,0.94065,1.19372,0.92654,0.92751,0.95857,0.69952,1.0098,0.69352,1.08509,0.000486738,0.000486738,0.000486738
23,54587.1,1.09855,0.94151,1.1925,0.92511,0.93536,0.96119,0.71195,1.00114,0.67632,1.07779,0.000457011,0.000457011,0.000457011
24,56130.5,1.07584,0.91884,1.19402,0.91559,0.92414,0.95649,0.70044,1.02054,0.70232,1.08798,0.000427285,0.000427285,0.000427285
25,57676.8,1.06632,0.89161,1.17999,0.92234,0.94186,0.9661,0.71752,0.98238,0.66137,1.05806,0.000397558,0.000397558,0.000397558
26,59223.1,1.04689,0.88264,1.16723,0.92412,0.9402,0.96554,0.7214,0.97343,0.65823,1.05841,0.000367831,0.000367831,0.000367831
27,60770.6,1.03564,0.87988,1.1698,0.9215,0.91998,0.95875,0.71322,0.99688,0.67271,1.06915,0.000338104,0.000338104,0.000338104
28,62316.3,1.04335,0.74115,1.18465,0.93556,0.944,0.96898,0.72672,0.95762,0.63891,1.05531,0.000308378,0.000308378,0.000308378
29,63860.4,1.01035,0.70121,1.16658,0.94562,0.94832,0.97731,0.7504,0.92343,0.58735,1.0309,0.000278651,0.000278651,0.000278651
30,65403.6,0.99474,0.68327,1.14901,0.94572,0.95181,0.97834,0.75002,0.91693,0.58801,1.02316,0.000248924,0.000248924,0.000248924
31,66947.9,0.97623,0.66954,1.13954,0.94586,0.95218,0.9769,0.75624,0.90146,0.58522,1.0167,0.000219197,0.000219197,0.000219197
32,68495.7,0.96438,0.65051,1.13426,0.94122,0.95153,0.97548,0.74969,0.91015,0.59076,1.01864,0.000189471,0.000189471,0.000189471
33,71594.4,0.95123,0.64132,1.12628,0.9504,0.95954,0.97973,0.75808,0.89449,0.56158,1.00653,0.000159744,0.000159744,0.000159744
34,73870.1,0.95397,0.63182,1.12454,0.95405,0.95385,0.98117,0.76758,0.8686,0.54688,0.99781,0.000130017,0.000130017,0.000130017
35,75414.8,0.93263,0.62482,1.12043,0.95263,0.95495,0.97998,0.76611,0.87786,0.55829,1.0028,0.00010029,0.00010029,0.00010029
36,76954.6,0.91665,0.60783,1.10695,0.9512,0.95948,0.98146,0.77226,0.85826,0.54019,0.99033,7.05635e-05,7.05635e-05,7.05635e-05
37,78493.7,0.90772,0.60804,1.10553,0.95581,0.9591,0.98222,0.77709,0.84546,0.53078,0.98507,4.08368e-05,4.08368e-05,4.08368e-05
